flight,flight_id,approach_id,fixture_dir,era,era_family,recording_regime,failure_reason,Y_eligible,funnel_applicability,funnel_applicability_note,frozen_compound_signature_positive,full_dies_gt4p5_proxy,never_recertifies_le3p5,definition
A001,20260714T210518-58cd98ad,20260714T210518-58cd98ad:NO_CLOSE_EPOCH,20260714T212450-phase3b-r2training,phase3b,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A002,20260714T210844-58cd98ad,20260714T210844-58cd98ad:NO_CLOSE_EPOCH,20260714T212450-phase3b-r2training,phase3b,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A003,20260714T211404-58cd98ad,20260714T211404-58cd98ad:NO_CLOSE_EPOCH,20260714T212450-phase3b-r2training,phase3b,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A004,20260715T045100-411f3135,20260715T045100-411f3135:NO_CLOSE_EPOCH,20260715T052244-phase3c-r2training,phase3c,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A005,20260715T045458-411f3135,20260715T045458-411f3135:NO_CLOSE_EPOCH,20260715T052244-phase3c-r2training,phase3c,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A006,20260715T051458-6092dbc0,20260715T051458-6092dbc0:NO_CLOSE_EPOCH,20260715T052244-phase3c-r2training,phase3c,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A007,20260715T121747-22978559,20260715T121747-22978559:NO_CLOSE_EPOCH,20260715T135600-phase3d-r2training,phase3d,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A008,20260715T122040-22978559,20260715T122040-22978559:NO_CLOSE_EPOCH,20260715T135600-phase3d-r2training,phase3d,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A009,20260715T122352-22978559,20260715T122352-22978559:NO_CLOSE_EPOCH,20260715T135600-phase3d-r2training,phase3d,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A010,20260715T183716-8e6cf1f5,20260715T183716-8e6cf1f5:NO_CLOSE_EPOCH,20260715T190627-phase3e-r2training-slow,phase3e,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
